ANIO,MES,DIA_SEMANA_ES,FRANJA_HORARIA,DEPARTAMENTO,ZONA,TIPO_DE_VIA,RED_VIAL,CONDICION_CLIMATICA,ZONIFICACION,CARACTERISTICAS_DE_VIA,PERFIL_LONGITUDINAL_VIA,SUPERFICIE_DE_CALZADA,CLASE_SINIESTRO,N_PERSONAS,N_CONDUCTORES,N_PASAJEROS,N_PEATONES,EDAD_PROMEDIO,N_CON_LICENCIA,N_LICENCIA_VIGENTE,N_DOSAJE_POSITIVO,N_VEHICULOS,N_TIPOS_VEHICULO,N_MODALIDADES_TRANSPORTE,N_VEHICULOS_FUGADOS,N_SOAT_VIGENTE,N_CITV_VIGENTE,NIVEL_MAGNITUD
2021,1,Viernes,MADRUGADA,LIMA,RURAL,CARRETERA,PROVINCIAL,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,DESPISTE,1,1,0,0,21.0,1,1,0,1,1,1,0,1,0,SIMPLE
2021,1,Viernes,MADRUGADA,LIMA,URBANA,AVENIDA,URBANO,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,DESPISTE,4,1,3,0,29.25,1,1,2,1,1,1,0,0,0,SIMPLE
2021,1,Viernes,MAÑANA,LA LIBERTAD,URBANA,CARRETERA,PROVINCIAL,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,ATROPELLO FUGA,2,1,0,1,38.0,0,0,0,1,1,0,1,0,0,MULTIPLE_MODERADA
2021,1,Viernes,MAÑANA,LA LIBERTAD,RURAL,CARRETERA,NACIONAL,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,CHOQUE,3,2,1,0,41.0,0,0,0,2,1,1,0,0,0,SIMPLE
2021,1,Viernes,TARDE,LIMA,URBANA,AVENIDA,URBANO,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,ATROPELLO,2,1,0,1,23.0,1,0,1,1,1,1,0,1,0,SIMPLE
2021,1,Viernes,TARDE,SAN MARTIN,URBANA,JIRÓN,URBANO,LLUVIOSO,COMERCIAL,INTERSECCIÓN,PLANA ,CONCRETO,CHOQUE,2,2,0,0,47.0,1,0,0,2,1,1,0,0,0,SIMPLE
2021,1,Viernes,NOCHE,LAMBAYEQUE,RURAL,CARRETERA,NACIONAL,DESPEJADO,INDUSTRIAL,CURVA,PLANA ,ASFALTADA,CHOQUE CON OBJETO FIJO,2,1,1,0,40.0,0,0,1,1,1,1,0,0,0,SIMPLE
2021,1,Sábado,MAÑANA,PIURA,URBANA,OTRO,URBANO,DESPEJADO,RURAL,INTERSECCIÓN,PLANA ,CONCRETO,CHOQUE,3,2,1,0,45.333333333333336,1,1,0,2,2,2,0,2,0,SIMPLE
2021,1,Sábado,MAÑANA,JUNIN,URBANA,CARRETERA,NACIONAL,DESPEJADO,COMERCIAL,OTRO,INCLINADA,ASFALTADA,CHOQUE,2,2,0,0,41.0,2,2,0,2,2,2,0,2,1,SIMPLE
2021,1,Sábado,TARDE,PUNO,RURAL,CARRETERA,NACIONAL,LLUVIOSO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,CHOQUE,2,2,0,0,40.5,1,1,0,2,2,1,0,2,1,SIMPLE
2021,1,Sábado,NOCHE,ANCASH,URBANA,AVENIDA,URBANO,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,ATROPELLO,2,1,0,1,62.5,0,1,0,1,1,1,0,1,1,SIMPLE
2021,1,Sábado,NOCHE,PIURA,URBANA,CARRETERA,DEPARTAMENTAL,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,CHOQUE,4,2,2,0,23.75,0,2,1,2,1,2,0,0,0,SIMPLE
2021,1,Domingo,MADRUGADA,LIMA,URBANA,CARRETERA,NACIONAL,SOLEADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,ATROPELLO FUGA,2,1,0,1,,0,0,1,1,1,1,1,0,0,SIMPLE
2021,1,Domingo,MAÑANA,LA LIBERTAD,RURAL,CARRETERA,NACIONAL,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,CHOQUE,3,2,1,0,54.333333333333336,1,1,0,2,2,2,0,2,1,SIMPLE
2021,1,Domingo,TARDE,LIMA,RURAL,CARRETERA,NACIONAL,LLUVIOSO,RURAL,SINUOSA,PLANA ,ASFALTADA,DESPISTE,5,1,4,0,32.6,1,1,0,1,1,1,0,1,0,SIMPLE
2021,1,Domingo,NOCHE,JUNIN,RURAL,CARRETERA,NACIONAL,NUBLADO,RURAL,CURVA,PLANA ,CONCRETO,ATROPELLO,2,1,0,1,33.0,1,0,0,1,1,1,0,1,1,SIMPLE
2021,1,Domingo,NOCHE,LA LIBERTAD,URBANA,CARRETERA,NACIONAL,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,ATROPELLO,3,1,0,2,44.666666666666664,0,0,0,1,1,1,0,0,0,SIMPLE
2021,1,Lunes,MADRUGADA,LIMA,URBANA,AVENIDA,URBANO,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,ATROPELLO,2,1,0,1,24.5,1,1,0,1,1,1,0,1,0,SIMPLE
2021,1,Lunes,MADRUGADA,PIURA,RURAL,CARRETERA,PROVINCIAL,DESPEJADO,RURAL,OTRO,INCLINADA,AFIRMADO,ATROPELLO FUGA,2,1,0,1,25.0,0,1,0,1,1,1,0,1,0,SIMPLE
2021,1,Lunes,MADRUGADA,AREQUIPA,RURAL,CARRETERA,NACIONAL,NUBLADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,CHOQUE,3,2,1,0,29.0,1,1,0,2,2,2,0,2,2,SIMPLE
2021,1,Lunes,MAÑANA,ANCASH,RURAL,CARRETERA,NACIONAL,DESPEJADO,RURAL,INTERSECCIÓN,INCLINADA,ASFALTADA,CHOQUE,4,2,2,0,35.75,0,1,0,2,2,2,0,2,1,SIMPLE
2021,1,Lunes,TARDE,CUSCO,RURAL,CARRETERA,SIN CLASIFICAR,DESPEJADO,RURAL,OTRO,INCLINADA,TROCHA,ESPECIAL,2,1,1,0,24.0,1,1,0,2,2,1,0,2,1,SIMPLE
2021,1,Lunes,NOCHE,PUNO,RURAL,CARRETERA,DEPARTAMENTAL,,,,,,CHOQUE,4,2,2,0,51.5,0,0,0,2,2,1,0,0,0,SIMPLE
2021,1,Lunes,NOCHE,LA LIBERTAD,RURAL,CARRETERA,NACIONAL,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,CHOQUE,3,2,1,0,38.666666666666664,1,1,0,2,2,2,0,2,1,SIMPLE
2021,1,Lunes,NOCHE,AREQUIPA,URBANA,CARRETERA,NACIONAL,DESPEJADO,RURAL,SINUOSA,INCLINADA,ASFALTADA,CHOQUE,2,2,0,0,55.5,1,0,1,2,2,1,0,2,0,SIMPLE
2021,1,Martes,MAÑANA,JUNIN,URBANA,AVENIDA,URBANO,DESPEJADO,COMERCIAL,CURVA,INCLINADA,ASFALTADA,CAÍDA DE PASAJERO,2,1,1,0,61.5,1,0,0,1,1,1,0,1,1,SIMPLE
2021,1,Martes,TARDE,APURIMAC,RURAL,CARRETERA,NACIONAL,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,ATROPELLO,2,1,0,1,16.0,1,1,0,1,1,1,0,1,1,SIMPLE
2021,1,Martes,NOCHE,LIMA,URBANA,CARRETERA,NACIONAL,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,ATROPELLO FUGA,1,0,0,1,26.0,0,0,0,1,1,0,1,0,0,SIMPLE
2021,1,Miércoles,MAÑANA,PUNO,RURAL,CARRETERA,NACIONAL,LLUVIOSO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,ATROPELLO,2,1,0,1,49.5,1,0,0,1,1,1,0,1,1,SIMPLE
2021,1,Miércoles,MAÑANA,JUNIN,RURAL,CARRETERA,NACIONAL,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,ATROPELLO FUGA,2,1,0,1,40.0,0,0,0,1,1,0,1,0,0,SIMPLE
2021,1,Miércoles,NOCHE,LIMA,URBANA,AVENIDA,URBANO,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,CHOQUE,3,2,1,0,25.333333333333332,1,1,1,2,2,1,0,2,1,MULTIPLE_MODERADA
2021,1,Jueves,TARDE,CUSCO,RURAL,CARRETERA,PROVINCIAL,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,DESPISTE,1,1,0,0,47.0,1,1,0,1,1,1,0,1,0,SIMPLE
2021,1,Jueves,NOCHE,ANCASH,RURAL,CARRETERA,NACIONAL,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,ATROPELLO,2,1,0,1,41.0,0,1,0,1,1,1,0,1,1,SIMPLE
2021,1,Viernes,MADRUGADA,ICA,URBANA,CARRETERA,NACIONAL,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,CHOQUE,2,2,0,0,53.5,1,1,0,2,2,2,0,0,1,SIMPLE
2021,1,Viernes,NOCHE,PUNO,URBANA,AVENIDA,URBANO,LLUVIOSO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,CHOQUE,3,2,1,0,38.333333333333336,1,1,2,2,2,2,1,0,1,SIMPLE
2021,1,Sábado,MAÑANA,AREQUIPA,RURAL,CARRETERA,NACIONAL,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,CHOQUE,4,2,2,0,36.75,2,2,0,2,2,1,0,2,1,MULTIPLE_MODERADA
2021,1,Sábado,MAÑANA,CUSCO,RURAL,CARRETERA,PROVINCIAL,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,CHOQUE,3,2,1,0,18.333333333333332,1,1,0,2,2,2,0,2,1,SIMPLE
2021,1,Sábado,MAÑANA,LIMA,URBANA,AVENIDA,URBANO,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,DESPISTE,1,1,0,0,41.0,0,0,0,1,1,1,0,0,0,SIMPLE
2021,1,Sábado,TARDE,LAMBAYEQUE,RURAL,CARRETERA,PROVINCIAL,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,DESPISTE,1,1,0,0,23.0,1,1,0,1,1,1,0,1,1,SIMPLE
2021,1,Sábado,TARDE,LIMA,RURAL,CARRETERA,NACIONAL,SOLEADO,RURAL,CURVA,PLANA ,ASFALTADA,CHOQUE,5,2,3,0,32.4,2,1,0,2,2,2,0,2,0,SIMPLE
2021,1,Sábado,NOCHE,ICA,URBANA,CARRETERA,NACIONAL,DESPEJADO,ESCOLAR,TRAMO RECTO,PLANA ,ASFALTADA,CHOQUE,2,2,0,0,37.5,0,0,0,2,1,1,0,0,0,SIMPLE
2021,1,Domingo,MADRUGADA,LAMBAYEQUE,URBANA,CARRETERA,NACIONAL,DESPEJADO,RESIDENCIAL,CURVA,INCLINADA,ASFALTADA,ATROPELLO,2,1,0,1,47.0,1,0,0,1,1,1,0,1,0,SIMPLE
